traffic_source,afid,source_system_description,source_system_name
Organic,None,Organic,organic
Microsoft Ads (search) - USA,bing,Microsoft Ads,microsoftads
Microsoft Ads (search) - USA,bingsr,Microsoft Ads,microsoftads
Microsoft Ads (search) - USA,bingps,Microsoft Ads,microsoftads
Microsoft Ads (search) - USA,ms,Microsoft Ads,microsoftads
Microsoft Ads (search) - Canada,,Microsoft Ads,microsoftads
Google Ads (search) - USA,gdnuss,Google Ads,googleads
Google Ads (search) - USA,gdnusr,Google Ads,googleads
Google Ads (search) - USA,gdnups,Google Ads,googleads
Google Ads (search) - USA,gdnusssr,Google Ads,googleads
Google Ads (search) - USA,gdnussps,Google Ads,googleads
Google Ads (search) - USA,gdnsv,Google Ads,googleads
Google Ads (search) - USA,gdnussp,Google Ads,googleads
Google Ads (search) - USA,gdnsr,Google Ads,googleads
Google Ads (search) - USA,gdnps,Google Ads,googleads
Google Ads (search) - USA,gdnupsps,Google Ads,googleads
Google Ads (search) - USA,abgdns,Google Ads,googleads
Google Ads (search) - USA,gdnusrsr,Google Ads,googleads
Google Ads (search) - USA,gdnusssrsr,Google Ads,googleads
Google Ads (search) - USA,gdnussundefined,Google Ads,googleads
Google Ads (search) - USA,gdndusps,Google Ads,googleads
Google Ads (search) - USA,gdnupssrsrsrsr,Google Ads,googleads
Google Ads (display) - USA,gdnu,Google Ads,googleads
Google Ads (display) - USA,gdn,Google Ads,googleads
Google Ads (display) - USA,gdnsp,Google Ads,googleads
Google Ads (display) - USA,gdnu3,Google Ads,googleads
Google Ads (display) - USA,rtgdnuvc,Google Ads,googleads
Google Ads (display) - USA,gdnu2,Google Ads,googleads
Google Ads (display) - USA,abgdnu,Google Ads,googleads
Google Ads (display) - USA,gdnuv,Google Ads,googleads
Google Ads (display) - USA,rtgdnuv,Google Ads,googleads
Google Ads (display) - USA,abyt,Google Ads,googleads
Google Ads (display) - USA,gdnuundefined,Google Ads,googleads
Google Ads (display) - USA,gdnup,Google Ads,googleads
Google Ads (display) - USA,rtgdnu,Google Ads,googleads
Google Ads (display) - USA,gdnundefined,Google Ads,googleads
Google Ads (display) - USA,gdnusrsrsr,Google Ads,googleads
Google Ads (display) - USA,gdnv,Google Ads,googleads
Google Ads (display) - USA,gdndus,Google Ads,googleads
Google Ads (search) - Canada,gdncas,Google Ads,googleads
Google Ads (search) - Canada,gdnmps,Google Ads,googleads
Google Ads (search) - Canada,ca,Google Ads,googleads
Google Ads (search) - Canada,gdncassr,Google Ads,googleads
Google Ads (search) - Canada,gdncaps,Google Ads,googleads
Google Ads (search) - Canada,gdncasr,Google Ads,googleads
Google Ads (search) - Canada,gdncasps,Google Ads,googleads
Google Ads (search) - Canada,gdncasrsr,Google Ads,googleads
Google Ads (display) - Canada,gdnca,Google Ads,googleads
Google Ads (display) - Canada,gdndca,Google Ads,googleads
Google Ads (search) - UK,gdnuks,Google Ads,googleads
Google Ads (search) - UK,gdnuksps,Google Ads,googleads
Google Ads (search) - UK,gdnukssr,Google Ads,googleads
Google Ads (search) - UK,gdnuksr,Google Ads,googleads
Google Ads (search) - UK,gdnukps,Google Ads,googleads
Google Ads (display) - UK,,Google Ads,googleads
Quora Ads (CPC Bidding) - USA,qrus,Quora Ads,quoraads
Quora Ads (CPC Bidding) - USA,qrusm,Quora Ads,quoraads
Quora Ads (CPC Bidding) - USA,qrusd,Quora Ads,quoraads
Quora Ads (CPC Bidding) - USA,qrusron,Quora Ads,quoraads
Quora Ads (CPC Bidding) - USA,qrus3,Quora Ads,quoraads
Quora Ads (CPC Bidding) - USA,qrus2,Quora Ads,quoraads
